,BottleneckSummaryIndex,Id,StartDate,EndDate,FromIntersectionName,ToIntersectionName,Direction,MaxDurationMinutes,StartSegmentOffsetMiles,EndSegmentOffsetMiles,MaxLengthMiles,FromPointLat,FromPointLon,ToPointLat,ToPointLon,label,OverlapSecond
163,20,5eb1e597-e46b-4919-8113-a510da0fd7e9,2022-03-11T12:16:24.000Z,2022-03-11T12:24:24.000Z,US-20 / County Road 16,US-20 / County Road 28,Eastbound,8,1.161,0.332,5.8,41.66573749,-84.51153494,41.66604,-84.39909986,Yes,
164,21,059602c7-50be-4599-bdda-b4cc6a4513ca,2022-03-11T22:29:24.000Z,2022-03-11T23:50:25.000Z,I-71  Exit 36 / CR-7 Wilmington Rd,I-71  Exit 28 / OH-48,Southbound,81,0.038,1.013,5.31,39.42846098,-84.08179831,39.40623599,-84.17403528,Yes,
165,139,11a0aa3f-c0b0-49b4-8bb0-191551f0ae55,2022-03-11T21:52:35.000Z,2022-03-11T22:48:24.000Z,OH-315  Exit 3 / Cannon Dr / Medical Center Dr,OH-315  Exit 7 / Henderson Rd,Northbound,56,0.365,0.402,3.45,39.99609011,-83.02470004,40.03963092,-83.03089684,Yes,
166,180,44cfcb9d-09e4-4215-bf5d-71037c48f938,2022-03-11T21:10:50.000Z,2022-03-11T21:30:24.000Z,OH-104 / US-33,US-33 Columbus-Lancaster Rd,Eastbound,20,1.272,0.687,2.45,39.90371,-82.90334,39.88145553,-82.87103991,Yes,
167,292,aafe4b5c-1ab8-4f98-b427-fc832603c9e5,2022-03-12T05:01:35.000Z,2022-03-12T05:23:05.000Z,OH-56 / Jackson Rd,OH-56 / Putnam Dr,Westbound,22,0.546,0.174,7.03,39.51529085,-82.80976879,39.58130019,-82.90688026,Yes,
168,139,09936911-f3b1-426d-8bee-f0bd82425941,2022-03-11T21:21:32.000Z,2022-03-11T21:45:53.000Z,OH-315  Exit 3 / Cannon Dr / Medical Center Dr,OH-315  Exit 7 / Henderson Rd,Northbound,24,0.353,0.231,3.29,39.99566325,-83.02460306,40.03805018,-83.02990011,Yes,
169,339,6ea777b1-b619-4351-8cdd-7354c0958972,2022-03-12T04:20:23.000Z,2022-03-12T04:29:31.000Z,OH-158 Columbus St / OH-158 Baltimore Rd / Columbus St,OH-158 / CR-46 Leonard Rd / Leonard Rd,Northbound,9,1.264,0.858,6.27,39.73125,-82.60705,39.81820186,-82.60841281,Yes,
170,303,1caa4270-a637-4052-aa9a-b2bd2ea01577,2022-03-12T04:32:48.000Z,2022-03-12T04:48:19.000Z,OH-104,OH-104 / John Dr,Northbound,16,0.468,0.184,5.27,39.3646869,-83.00434149,39.43885003,-83.00946,Yes,
171,63,280a8788-e083-44d2-8677-fa82ea0e9207,2022-03-11T15:52:27.000Z,2022-03-11T21:31:32.000Z,OH-3 Westerville Pike / OH-3 Westerville Rd,OH-3 State St,Eastbound,339,0.962,0.801,2.67,40.08989288,-82.92611914,40.12782013,-82.93231003,Yes,
172,134,1c3b5a8d-862e-4466-901a-78ab511d996f,2022-03-12T04:31:49.000Z,2022-03-12T04:36:41.000Z,I-70  Exit 202 / OH-800 Barnesville Hendrysburg Rd / OH-800 Hendrysburg Freeport Rd,I-70,Westbound,5,0.434,0.761,6.91,40.05960176,-81.15999673,40.05649709,-81.2885133,Yes,
