,BottleneckSummaryIndex,Id,StartDate,EndDate,FromIntersectionName,ToIntersectionName,Direction,MaxDurationMinutes,StartSegmentOffsetMiles,EndSegmentOffsetMiles,MaxLengthMiles,FromPointLat,FromPointLon,ToPointLat,ToPointLon,label,OverlapSecond
2693,284,1e32873c-4fc6-4dc0-8dca-95f73b2a3ab7,2022-01-17T06:46:34.000Z,2022-01-17T07:16:29.000Z,US-36,US-36 / CR-5 Section Line Rd,Eastbound,30,0.273,1.002,10.17,40.24764,-83.31216524,40.29741704,-83.13471561,Yes,
2694,4558,90c2d3d3-12f2-4f58-98e2-74832b598156,2022-01-17T14:14:08.000Z,2022-01-17T14:44:59.000Z,US-22 Cadiz-Piedmont Rd / CR-34 Moorefield Hill Rd,US-22 Cadiz-Piedmont Rd / Industrial Park Rd,Eastbound,31,0.284,0.163,9.63,40.2008147,-81.15169291,40.26799999,-81.02248001,Yes,
2695,4468,c389d6bf-a647-4b8c-828e-e86df5c8e795,2022-01-17T11:42:06.000Z,2022-01-17T11:53:01.000Z,US-50 Robert Byrd Hwy / WV-892 Dupont Rd,US-50 / WV-47 Staunton Ave,Eastbound,11,0.101,0.852,6.59,39.26183982,-81.64636998,39.25479001,-81.53644997,Yes,
2696,4456,31fce5bf-575b-4df9-b036-6a390e82d6b1,2022-01-17T11:38:02.000Z,2022-01-17T12:06:04.000Z,OH-283 / 286th St,OH-283 Lakeshore Blvd / 204th St,Westbound,28,0,0.011,3.14,41.62735,-81.48747,41.6026,-81.53805,Yes,
2697,1101,d766b50d-689e-4194-8dac-159e3a195087,2022-01-17T06:32:51.000Z,2022-01-17T06:59:49.000Z,I-71  Exit 209A-B / I-76  Exit 1A / US-224,I-71  Exit 218 / OH-18 Medina Rd,Northbound,27,0.037,0.305,8.54,41.03021067,-81.89090832,41.13070023,-81.79712986,No,1618
2698,2232,64bf20a0-8eab-43d9-b480-f65ba62bfc09,2022-01-17T09:30:42.000Z,2022-01-17T10:09:40.000Z,US-62,OH-3 / 3rd St,Eastbound,39,0.581,0.302,11.97,39.56259594,-83.40935405,39.70419907,-83.27939258,Yes,
2699,278,228c03de-828c-49fa-80cb-c697d0138c7c,2022-01-17T04:04:59.000Z,2022-01-17T04:40:56.000Z,I-71  Exit 220 / I-271  Exit 1,I-271,Northbound,36,0,0.29,10.9,41.16195,-81.78158,41.23231534,-81.60916459,No,2157
2700,2231,bbc246f3-24af-4e3d-8333-eaf4856eb81f,2022-01-17T06:30:54.000Z,2022-01-17T06:39:54.000Z,I-90 / OH-2,I-90  Exit 181 / Calcutta Ave / 156th St,Westbound,9,0.084,0.869,4.06,41.60188919,-81.50224314,41.57036999,-81.56855002,Yes,
2701,278,ea188742-489e-428e-b529-67a702e14ca1,2022-01-17T05:56:59.000Z,2022-01-17T06:02:52.000Z,I-71  Exit 220 / I-271  Exit 1,I-271,Northbound,6,0,0,10.61,41.16195,-81.78158,41.23112128,-81.61340498,No,353
2702,4409,76689118-6c1a-4d65-9f60-5dce5a1732e4,2022-01-17T14:53:58.000Z,2022-01-17T15:08:50.000Z,I-77  Exit 123B / OH-764 / Palmetto Ave,OH-59  Exit 4 / Howe Ave,Northbound,15,0.069,0.508,5.26,41.04358027,-81.50535002,41.11704,-81.49067,Yes,
2703,2261,2ddc5a67-99b4-443d-812b-443d57324e50,2022-01-17T13:08:57.000Z,2022-01-17T13:45:04.000Z,I-90  Exit 218 / OH-534 / OH-534 Broadway,US-6 / OH-534,Southbound,36,0.318,0,11.69,41.77074986,-80.94661,41.60809236,-80.95317083,Yes,
2704,809,fdc067ab-48e3-4c09-9674-63c717278208,2022-01-17T12:43:56.000Z,2022-01-17T12:46:02.000Z,US-22  Exit 5 / WV-105 Colliers Way,OH-7 / US-22,Westbound,2,0.596,0.217,5.37,40.39791119,-80.54296765,40.38134758,-80.6208428,No,126
2705,2003,ff8e4268-6b23-4e39-a96c-60c83a0d5f9d,2022-01-17T05:58:42.000Z,2022-01-17T06:25:32.000Z,US-36 / OH-814 Ludlow Rd / Ludlow Rd,OH-4 / US-36,Eastbound,27,1.15,1.087,10.81,40.10746,-83.66798,40.14860761,-83.47748906,Yes,
2706,2220,79954fbe-0b2c-44c8-a947-73233acbacef,2022-01-17T09:46:49.000Z,2022-01-17T10:23:42.000Z,OH-37 / OH-161 / OH-37 Johnstown-Alexandria Rd,OH-161  Exit 46 / US-62 Johnstown Rd,Westbound,37,0,0.417,9.97,40.07353,-82.6001,40.0806535,-82.7871705,Yes,
