BottleneckSummaryIndex,Id,StartDateUTC,EndDateUTC,FromIntersectionName,ToIntersectionName,Direction,MaxDurationMinutes,StartSegmentOffsetMiles,EndSegmentOffsetMiles,MaxLengthMiles,FromPointLat,FromPointLon,ToPointLat,ToPointLon,StartDateET,EndDateET,StartHourET,StartMinuteET,EndHourET,EndMinuteET,TotalImpactFactor,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
3,212d0260-d357-4852-927e-e3d70a48690b,2024-01-25 12:54:43,2024-01-25 12:57:35,I-275  Exit 57 / OH-28,I-275  Exit 50 / US-22 Montgomery Rd / Hetz Dr,Northbound,3,0.114,0.139,5.95,39.18933032036001,-84.2625799615568,39.25274046242908,-84.32335891825763,2024-01-25 07:54:43-05:00,2024-01-25 07:57:35-05:00,7,54,7,57,17.85,0,0.0,0.0,0,0,0.0,0.0,17.85,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
3,bcde86ee-2682-4efe-a7d9-df0996ae6f0d,2024-02-05 11:52:30,2024-02-05 13:14:38,I-275  Exit 57 / OH-28,I-275  Exit 50 / US-22 Montgomery Rd / Hetz Dr,Northbound,82,0.0,0.417,6.72,39.18242,-84.26487,39.25396921913904,-84.32769474228978,2024-02-05 06:52:30-05:00,2024-02-05 08:14:38-05:00,6,52,8,14,551.04,0,0.0,0.0,0,0,0.0,53.76,403.2,94.08,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
4,bbec65dd-7a51-48c5-a2ce-d252e00c2c9c,2024-02-15 22:21:33,2024-02-15 22:29:27,I-275  Exit 46 / US-42 Lebanon Rd,"I-75  Exits 16,16A,16B / I-275  Exits 43A,43B",Northbound,8,0.791,0.108,2.27,39.29047,-84.39028,39.287625540023015,-84.43106108636115,2024-02-15 17:21:33-05:00,2024-02-15 17:29:27-05:00,17,21,17,29,18.16,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,18.16,0.0,0,0,0,0,0
5,2830ea01-edd9-453f-8eb5-47ee86276cce,2024-01-18 12:45:48,2024-01-18 12:56:14,I-275,I-275  Exit 52 / Loveland Madeira Rd,Northbound,10,0.154,0.0,2.98,39.20909409346813,-84.26371382122977,39.24164341300687,-84.29979311622367,2024-01-18 07:45:48-05:00,2024-01-18 07:56:14-05:00,7,45,7,56,29.8,0,0.0,0.0,0,0,0.0,0.0,29.8,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
5,ec5bd075-df48-4ecc-b302-90aeeb6a6307,2024-02-13 12:33:29,2024-02-13 12:42:27,I-275  Exit 57 / OH-28,I-275  Exit 52 / Loveland Madeira Rd,Northbound,9,0.114,0.0,4.39,39.18933032036001,-84.2625799615568,39.24164341300687,-84.29979311622367,2024-02-13 07:33:29-05:00,2024-02-13 07:42:27-05:00,7,33,7,42,39.51,0,0.0,0.0,0,0,0.0,0.0,39.51,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
5,ce23084e-7e03-4960-be57-898e75a83306,2024-01-25 13:06:34,2024-01-25 13:14:39,I-275,I-275  Exit 52 / Loveland Madeira Rd,Northbound,8,0.67,0.0,3.6,39.20079067739884,-84.26270642718896,39.24164341300687,-84.29979311622367,2024-01-25 08:06:34-05:00,2024-01-25 08:14:39-05:00,8,6,8,14,28.8,0,0.0,0.0,0,0,0.0,0.0,0.0,28.8,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
5,3216d322-7ab8-4b35-b6a5-db248ddb79ea,2024-01-31 12:34:30,2024-01-31 12:48:44,I-275,I-275  Exit 52 / Loveland Madeira Rd,Northbound,14,0.0,1.202,3.05,39.2074634790692,-84.2631886368097,39.240652498839125,-84.29887236732127,2024-01-31 07:34:30-05:00,2024-01-31 07:48:44-05:00,7,34,7,48,42.699999999999996,0,0.0,0.0,0,0,0.0,0.0,42.699999999999996,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
5,e7843349-5afd-4b14-87e4-989f7fe76c5d,2024-01-19 13:10:46,2024-01-19 13:51:51,"I-275  Exits 74A,74B / I-471  Exits 1A,1B",I-275  Exit 52 / Loveland Madeira Rd,Northbound,41,0.205,0.0,22.57,39.04577023260592,-84.4607790598844,39.24164341300687,-84.29979311622367,2024-01-19 08:10:46-05:00,2024-01-19 08:51:51-05:00,8,10,8,51,925.37,0,0.0,0.0,0,0,0.0,0.0,0.0,925.37,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
8,7c4dbb6f-72f6-445f-bd79-2fa23a0120a8,2024-01-19 11:28:41,2024-01-19 12:25:46,I-275,I-275  Exit 44 / Mosteller Rd,Northbound,57,0.314,0.616,26.85,39.06030780500887,-84.41956309830135,39.2879057182514,-84.40085673774456,2024-01-19 06:28:41-05:00,2024-01-19 07:25:46-05:00,6,28,7,25,1530.45,0,0.0,0.0,0,0,0.0,859.1999999999999,671.25,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
8,1e8ff06b-c4dd-45a6-907c-f5363e94b4b8,2024-01-19 12:47:51,2024-01-19 13:25:03,I-275  Exit 65 / OH-125,I-275  Exit 44 / Mosteller Rd,Northbound,37,0.0,1.041,21.22,39.06823,-84.29928,39.285593982164336,-84.42328507533642,2024-01-19 07:47:51-05:00,2024-01-19 08:25:03-05:00,7,47,8,25,785.14,0,0.0,0.0,0,0,0.0,0.0,275.86,530.5,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
